"x";"y";"z";"E";"n"
-25;-15;12;0;0
-25;-15;13;0;0
-25;-15;16;0;0
-25;-15;17;1;5
-25;-15;18;0;0
-25;-15;20;1;4
-25;-15;23;1;1
-25;-15;25;1;2
-25;-15;26;1;1
-25;-15;27;1;1
-26;-15;29;1;1
-26;-15;30;1;4
-25;-14;12;1;1
-25;-14;15;0;0
-25;-14;18;1;1
-26;-14;21;1;2
-26;-14;22;0;0
-26;-14;25;0;0
-26;-14;29;1;4
-26;-15;30;1;5
-26;-15;31;1;2
-25;-13;10;1;2
-25;-13;11;1;11
-26;-13;12;1;1
-26;-13;13;1;8
-26;-13;17;0;0
-26;-13;22;1;1
-26;-13;23;1;2
-26;-13;24;1;4
-26;-13;26;0;0
-26;-13;27;1;1
-11;-37;12;1;3
-11;-36;13;1;2
-11;-37;14;0;0
-11;-37;16;0;0
-12;-35;11;0;0
-12;-36;12;1;7
-12;-36;14;1;9
-12;-36;15;0;0
-12;-36;16;0;0
-12;-36;17;1;4
-12;-36;18;1;2
-12;-35;11;0;0
-12;-35;12;0;0
-13;-34;13;1;2
-13;-34;16;0;0
-13;-34;18;0;0
-13;-33;11;0;0
-13;-33;12;1;1
-13;-33;13;1;5
-13;-33;14;0;0
-13;-33;15;0;0
-13;-33;16;1;8
-13;-33;17;1;1
-13;-33;18;1;2
-13;-33;21;1;8
-14;-32;11;0;0
-14;-32;12;1;1
-14;-32;13;1;2
-14;-32;14;1;6
-14;-32;19;1;10
-14;-33;20;1;2
-14;-33;21;0;0
-14;-31;12;1;3
-14;-31;14;1;3
-14;-32;19;1;31
-14;-32;22;0;0
-14;-32;23;0;0
-15;-30;11;0;0
-15;-30;12;1;1
-15;-30;13;1;1
-15;-31;17;1;16
-15;-31;19;1;3
-15;-31;22;0;0
-15;-29;11;0;0
-15;-29;12;0;0
-15;-29;13;1;6
-15;-30;15;1;8
-15;-30;16;1;11
-15;-30;17;1;1
-15;-30;18;1;8
-15;-30;19;0;0
-15;-30;20;0;0
-16;-30;22;0;0
-16;-30;24;0;0
-16;-28;12;1;12
-16;-29;13;1;25
-16;-29;16;1;9
-16;-29;22;1;3
-16;-28;16;1;14
-16;-28;17;1;3
-16;-28;20;0;0
-17;-28;21;0;0
-17;-28;24;0;0
-17;-28;26;1;1
-17;-27;11;0;0
-17;-27;12;1;7
-17;-27;13;1;4
-17;-27;14;1;12
-17;-27;17;1;38
-17;-27;18;1;10
-17;-26;14;0;0
-17;-26;16;1;2
-17;-26;18;1;24
-17;-26;20;1;4
-17;-26;21;1;2
-18;-26;22;0;0
-18;-26;23;0;0
-18;-27;25;0;0
-18;-25;15;1;5
-18;-25;16;1;4
-18;-25;19;1;6
-18;-25;20;1;1
-18;-25;22;0;0
-18;-26;26;0;0
-18;-26;27;1;1
-18;-26;28;0;0
-18;-26;29;1;3
-18;-24;11;0;0
-18;-24;13;0;0
-18;-24;16;1;3
-18;-24;18;1;2
-18;-24;19;1;4
-18;-24;20;1;1
-19;-25;22;0;0
-19;-25;23;0;0
-19;-25;25;0;0
-19;-25;30;1;1
-19;-23;12;0;0
-19;-23;16;0;0
-19;-23;18;1;2
-19;-24;19;0;0
-19;-24;20;0;0
-19;-24;22;0;0
-19;-24;25;1;1
-19;-24;27;0;0
-19;-24;28;0;0
-19;-24;30;1;1
-19;-22;10;1;1
-19;-22;11;0;0
-19;-22;12;0;0
-19;-22;14;1;3
-19;-23;19;1;2
-20;-23;25;0;0
-20;-23;27;1;3
-20;-23;28;0;0
-20;-21;10;0;0
-20;-21;11;0;0
-20;-21;13;0;0
-20;-22;18;1;5
-20;-22;19;1;4
-20;-22;21;0;0
-20;-22;25;1;7
-20;-22;26;1;3
-20;-22;28;1;37
-21;-22;31;1;17
-20;-21;15;0;0
-20;-21;16;0;0
-20;-21;17;1;9
-20;-21;18;1;1
-21;-21;21;1;1
-21;-21;22;1;2
-21;-21;24;1;1
-21;-21;25;0;0
-21;-21;26;1;3
-21;-21;29;1;5
-21;-19;10;0;0
-21;-20;12;0;0
-21;-20;13;0;0
-21;-20;14;0;0
-21;-20;15;0;0
-21;-20;16;0;0
-21;-20;20;1;2
-21;-20;24;0;0
-21;-20;26;1;1
-21;-20;27;1;1
-22;-21;31;1;1
-21;-19;10;0;0
-21;-19;13;0;0
-21;-19;14;0;0
-21;-19;17;1;5
-22;-19;19;0;0
-22;-19;22;1;1
-22;-19;25;1;2
-22;-19;26;1;1
-22;-19;27;1;1
-22;-19;28;1;5
-22;-20;29;1;8
-22;-20;31;1;12
-22;-18;12;0;0
-22;-18;13;0;0
-22;-18;16;1;6
-22;-18;17;0;0
-22;-18;19;1;7
-22;-18;20;1;3
-22;-18;23;1;6
-22;-18;25;0;0
-23;-19;30;1;12
-23;-19;32;1;7
-22;-17;12;0;0
-23;-17;19;1;1
-23;-17;20;1;3
-23;-18;27;0;0
-23;-18;30;1;18
-23;-18;32;1;1
-23;-16;10;0;0
-23;-16;11;0;0
-23;-16;14;1;5
-23;-16;16;1;2
-23;-16;17;0;0
-23;-16;18;1;6
-23;-16;20;1;9
-23;-16;22;1;2
-23;-17;24;1;5
-23;-17;25;1;1
-24;-17;27;1;6
-24;-17;30;1;3
-24;-17;31;1;9
-23;-15;12;1;1
-23;-15;13;1;3
-23;-15;14;0;0
-23;-15;15;1;2
-23;-15;16;0;0
-23;-15;17;0;0
-24;-16;22;0;0
-24;-16;25;0;0
-24;-16;26;0;0
-24;-16;28;0;0
-24;-16;29;0;0
-24;-16;30;0;0
-24;-16;32;1;2
-24;-14;11;1;1
-24;-14;12;0;0
-24;-14;13;0;0
-24;-14;16;1;1
-24;-14;17;1;2
-24;-15;22;1;2
-24;-15;24;0;0
-24;-15;25;0;0
-25;-15;26;1;9
-25;-15;27;1;4
-25;-15;28;1;1
-25;-15;29;1;2
-25;-15;32;1;2
-24;-13;11;0;0
-24;-14;16;1;4
-24;-14;17;1;4
-25;-14;22;1;1
-25;-14;23;1;1
-25;-14;25;1;2
-25;-14;27;1;1
-25;-14;30;0;0
-25;-12;10;1;8
-25;-13;13;1;9
-25;-13;14;1;2
-25;-13;17;0;0
-25;-13;18;1;1
-25;-13;20;1;6
-25;-13;23;1;14
-25;-13;24;1;17
-26;-13;27;1;4
-26;-13;30;1;14
-9;-39;13;1;2
-9;-38;12;1;1
-9;-38;14;1;1
-10;-37;12;1;8
-10;-37;13;1;19
-10;-37;14;0;0
-10;-36;11;1;10
-10;-36;12;1;10
-10;-36;14;0;0
-10;-36;15;1;3
-10;-36;17;0;0
-11;-35;15;0;0
-11;-35;16;0;0
-11;-35;17;0;0
-11;-34;11;0;0
-11;-34;14;1;5
-11;-34;16;1;2
-11;-35;20;0;0
-12;-33;11;0;0
-12;-33;12;0;0
-12;-33;13;0;0
-12;-33;14;1;10
-12;-34;16;1;4
-12;-34;19;1;2
-12;-34;20;0;0
-12;-32;11;0;0
-12;-33;14;1;3
-12;-33;15;1;3
-12;-33;16;1;4
-13;-33;22;0;0
-13;-31;10;0;0
-13;-32;12;0;0
-13;-32;15;1;2
-13;-32;16;1;5
-13;-32;24;0;0
-13;-31;10;0;0
-13;-31;11;0;0
-13;-31;13;1;1
-13;-31;15;0;0
-13;-31;17;0;0
-13;-31;19;1;1
-14;-31;22;0;0
-14;-31;25;0;0
-14;-30;10;0;0
-14;-30;13;1;1
-14;-30;15;1;10
-14;-30;16;1;4
-14;-30;17;1;1
-14;-30;19;1;6
-14;-30;21;1;3
-14;-29;10;1;3
-14;-29;11;0;0
-14;-29;13;1;2
-14;-29;15;1;5
-15;-29;20;1;3
-15;-30;23;0;0
-15;-30;24;0;0
-15;-30;25;0;0
-15;-28;11;1;1
-15;-28;12;1;1
-15;-28;13;1;2
-15;-28;14;1;9
-15;-28;16;1;2
-15;-28;17;1;5
-15;-28;19;1;2
-15;-29;20;1;1
-15;-29;21;1;2
-15;-29;22;1;5
-15;-29;24;0;0
-15;-29;27;0;0
-15;-27;11;1;15
-15;-27;13;1;9
-15;-27;16;1;12
-15;-27;18;1;12
-16;-28;20;1;6
-16;-28;21;0;0
-16;-28;24;0;0
-16;-28;25;0;0
-16;-28;27;1;1
-16;-26;11;1;4
-16;-26;13;1;1
-16;-26;17;1;19
-16;-27;18;1;16
-16;-27;19;1;21
-16;-27;20;1;1
-16;-27;23;0;0
-16;-27;27;1;1
-16;-27;28;0;0
-16;-25;11;1;5
-16;-25;12;0;0
-16;-25;13;0;0
-17;-26;19;1;4
-17;-26;20;1;5
-17;-26;22;0;0
-17;-26;30;1;4
-17;-24;10;0;0
-17;-24;12;0;0
-17;-25;14;1;1
-17;-25;15;0;0
-17;-25;17;1;8
-17;-25;20;1;17
-17;-25;22;0;0
-17;-25;24;0;0
-17;-25;28;0;0
-17;-25;29;0;0
-17;-23;11;0;0
-17;-24;13;0;0
-18;-24;18;1;5
-18;-24;19;1;4
-18;-24;21;1;3
-18;-24;28;0;0
-18;-25;30;0;0
-18;-23;12;0;0
-18;-23;14;0;0
-18;-23;15;0;0
-18;-23;16;1;2
-18;-23;17;0;0
-18;-23;19;1;6
-18;-23;20;1;2
-18;-23;21;1;3
-18;-23;24;1;2
-18;-23;25;1;3
-18;-23;26;0;0
-19;-24;29;0;0
-19;-24;30;0;0
-18;-22;10;0;0
-18;-22;14;0;0
-18;-22;15;0;0
-19;-22;17;1;3
-19;-22;18;0;0
-19;-22;24;1;1
-19;-22;25;0;0
-19;-23;26;0;0
-19;-23;31;1;9
-19;-21;10;1;1
-19;-21;12;1;1
-19;-21;19;1;8
-19;-21;20;1;5
-19;-22;26;0;0
-20;-22;29;1;3
-19;-20;15;0;0
-20;-20;19;1;2
-20;-21;23;0;0
-20;-21;24;0;0
-20;-21;25;0;0
-20;-21;26;1;2
-20;-21;28;1;4
-20;-21;30;0;0
-20;-21;32;1;2
-20;-19;13;0;0
-20;-19;17;1;4
-20;-19;18;0;0
-20;-19;19;0;0
-20;-20;22;0;0
-20;-20;23;0;0
-20;-20;26;1;6
-21;-20;27;1;7
-21;-20;28;1;6
-21;-20;29;0;0
-21;-20;30;0;0
-21;-20;31;1;1
-21;-20;32;0;0
-20;-18;14;0;0
-20;-18;15;0;0
-20;-18;16;0;0
-21;-19;20;0;0
-21;-19;21;0;0
-21;-19;22;0;0
-21;-19;25;1;3
-21;-19;29;0;0
-21;-19;31;1;8
-21;-17;10;0;0
-21;-17;11;0;0
-21;-17;12;0;0
-21;-17;14;0;0
-21;-17;15;0;0
-21;-18;19;0;0
-21;-18;22;0;0
-21;-18;23;0;0
-21;-18;25;1;3
-22;-18;27;1;11
-22;-18;28;0;0
-22;-18;29;0;0
-22;-18;31;1;2
-22;-18;33;0;0
-21;-16;12;1;1
-21;-16;13;0;0
-21;-17;15;1;1
-22;-17;16;1;1
-22;-17;18;1;7
-22;-17;19;0;0
-22;-17;21;0;0
-22;-17;22;0;0
-22;-17;23;1;3
-22;-17;25;1;1
-22;-17;26;1;2
-22;-17;27;1;2
-22;-17;28;1;8
-22;-16;11;1;2
-22;-16;18;1;1
-22;-16;19;1;2
-22;-16;20;1;3
-22;-16;21;1;4
-22;-16;23;1;5
-22;-16;24;0;0
-23;-16;26;0;0
-23;-16;27;0;0
-23;-16;30;1;1
-23;-16;31;0;0
-23;-16;33;0;0
-22;-15;10;1;2
-22;-15;13;1;1
-22;-15;14;1;1
-23;-15;17;1;2
-23;-15;18;1;4
-23;-15;20;1;19
-23;-15;22;1;4
-23;-15;23;1;2
-23;-15;25;1;2
-23;-15;27;1;3
-23;-15;29;0;0
-23;-14;11;1;1
-23;-14;12;1;1
-23;-14;13;0;0
-23;-14;16;1;3
-23;-14;18;1;3
-23;-14;19;1;1
-23;-14;22;1;5
-23;-14;23;0;0
-24;-15;32;1;4
-24;-15;33;0;0
-23;-13;12;0;0
-23;-13;14;1;3
-24;-13;16;1;2
-24;-13;17;1;4
-24;-13;18;1;11
-24;-13;22;1;5
-24;-13;23;1;19
-24;-13;24;1;3
-24;-13;25;1;6
-24;-13;28;0;0
-24;-14;30;1;2
-24;-14;31;1;3
-25;-14;32;0;0
-25;-14;33;0;0
-24;-12;11;1;3
-24;-12;12;1;1
-24;-12;13;1;13
-24;-12;14;1;2
-24;-12;22;1;4
-25;-13;28;1;6
-25;-13;30;1;15
-25;-13;31;1;15
-25;-13;32;1;4
-25;-13;33;1;6
-8;-38;13;1;8
-8;-37;12;1;3
-8;-37;13;1;5
-8;-37;15;1;8
-8;-38;17;0;0
-9;-36;12;0;0
-9;-36;14;1;5
-9;-37;15;1;3
-9;-36;13;1;4
-9;-36;14;1;1
-10;-36;19;1;1
-10;-34;11;0;0
-10;-35;12;1;3
-10;-35;13;1;14
-10;-35;15;1;1
-10;-35;16;0;0
-10;-34;12;0;0
-11;-34;20;0;0
-11;-34;22;1;3
-11;-33;13;1;2
-11;-33;16;1;13
-11;-33;17;0;0
-11;-33;22;1;4
-11;-34;23;0;0
-11;-32;10;0;0
-11;-32;15;1;4
-12;-32;17;1;1
-12;-32;19;1;2
-12;-32;20;1;5
-12;-33;22;1;1
-12;-33;23;0;0
-12;-31;10;1;2
-12;-31;12;0;0
-12;-31;16;1;9
-12;-31;17;0;0
-12;-32;21;1;15
-12;-32;23;1;1
-12;-32;24;0;0
-12;-30;12;0;0
-12;-30;13;0;0
-13;-30;16;0;0
-13;-31;19;0;0
-13;-31;22;1;1
-13;-31;24;1;8
-13;-31;26;0;0
-13;-29;12;0;0
-13;-29;13;0;0
-13;-29;15;1;6
-13;-30;18;0;0
-13;-30;20;1;14
-13;-30;22;1;2
-13;-30;23;0;0
-13;-30;26;1;1
-13;-30;27;0;0
-13;-28;11;0;0
-13;-28;12;0;0
-13;-28;13;0;0
-13;-29;16;1;12
-14;-29;17;1;3
-14;-29;18;1;9
-14;-29;18;1;7
-14;-29;21;1;6
-14;-29;22;1;9
-14;-29;23;0;0
-14;-29;24;0;0
-14;-29;25;0;0
-14;-29;27;0;0
-14;-27;12;1;1
-14;-28;13;0;0
-14;-28;14;0;0
-14;-28;15;0;0
-14;-28;16;1;15
-14;-28;18;1;2
-14;-28;22;1;12
-14;-28;23;1;7
-14;-28;28;0;0
-14;-27;11;1;10
-14;-27;12;1;14
-14;-27;13;1;15
-15;-27;17;1;9
-15;-27;24;0;0
-15;-27;25;0;0
-15;-28;27;1;2
-15;-28;28;0;0
-15;-26;10;0;0
-15;-26;13;1;4
-15;-26;14;1;2
-15;-26;20;1;3
-15;-26;21;1;2
-15;-26;22;0;0
-15;-26;23;1;3
-15;-26;24;0;0
-15;-26;25;0;0
-15;-27;27;0;0
-16;-27;29;0;0
-15;-25;10;0;0
-15;-25;11;1;3
-15;-25;13;1;2
-15;-25;14;0;0
-16;-25;19;1;7
-16;-25;20;1;5
-16;-25;21;1;1
-16;-25;23;1;1
-16;-26;24;0;0
-16;-26;28;0;0
-16;-26;29;0;0
-16;-26;30;0;0
-16;-24;11;1;2
-16;-24;12;1;1
-16;-24;14;1;1
-16;-24;15;0;0
-16;-24;16;0;0
-16;-24;17;1;5
-16;-24;18;1;1
-16;-24;20;1;10
-16;-24;21;1;4
-16;-25;24;0;0
-16;-25;25;1;1
-16;-25;27;0;0
-17;-25;29;0;0
-17;-25;31;1;2
-16;-23;10;1;1
-16;-23;11;1;2
-16;-23;13;0;0
-17;-23;16;0;0
-17;-24;24;0;0
-17;-24;25;0;0
-17;-24;29;0;0
-17;-24;30;0;0
-17;-24;32;1;1
-17;-22;11;1;2
-17;-22;14;0;0
-17;-23;19;1;5
-17;-23;20;1;23
-17;-23;21;1;19
-18;-23;27;0;0
-18;-23;28;1;1
-18;-23;31;0;0
-18;-23;32;1;3
-17;-21;10;0;0
-17;-21;12;0;0
-18;-21;15;1;4
-18;-22;16;0;0
-18;-22;17;0;0
-18;-22;19;1;5
-18;-22;20;1;25
-18;-22;27;1;1
-18;-22;28;1;2
-18;-20;11;0;0
-18;-20;13;1;4
-18;-21;16;1;4
-18;-21;17;1;4
-18;-21;19;1;2
-18;-21;21;1;3
-18;-21;22;0;0
-18;-21;24;1;3
-19;-21;28;1;9
-19;-21;29;0;0
-19;-21;32;0;0
-18;-20;12;0;0
-19;-20;23;0;0
-19;-20;25;0;0
-19;-20;27;1;16
-19;-21;33;0;0
-19;-19;10;1;2
-19;-19;12;0;0
-19;-19;13;0;0
-19;-19;14;0;0
-19;-19;16;0;0
-19;-19;17;1;5
-19;-19;22;0;0
-20;-19;25;0;0
-20;-19;28;0;0
-20;-19;29;0;0
-20;-20;30;1;1
-20;-20;31;1;8
-20;-20;33;0;0
-19;-18;10;0;0
-19;-18;12;0;0
-20;-18;19;0;0
-20;-18;20;0;0
-20;-18;21;0;0
-20;-18;22;0;0
-20;-18;23;0;0
-20;-18;24;0;0
-20;-18;25;0;0
-20;-18;27;1;10
-20;-19;29;0;0
-20;-19;30;1;1
-20;-17;9;0;0
-20;-17;10;0;0
-20;-17;12;0;0
-20;-17;14;0;0
-20;-17;15;0;0
-20;-17;16;0;0
-20;-17;17;1;19
-20;-17;22;0;0
-21;-17;24;0;0
-21;-17;25;1;1
-21;-18;26;1;2
-21;-18;30;0;0
-21;-18;31;0;0
-21;-18;33;0;0
-21;-18;34;0;0
-20;-16;9;0;0
-20;-16;12;0;0
-21;-16;16;1;3
-21;-16;17;1;4
-21;-16;18;0;0
-21;-16;23;0;0
-21;-16;24;1;1
-21;-17;26;1;1
-21;-17;27;1;25
-21;-17;28;1;3
-21;-17;29;0;0
-22;-17;33;0;0
-22;-17;34;0;0
-21;-15;11;1;4
-21;-15;13;1;1
-21;-15;15;0;0
-21;-15;20;0;0
-21;-15;22;1;1
-22;-16;25;1;3
-22;-16;26;1;7
-22;-16;27;1;7
-22;-16;33;0;0
-21;-14;9;0;0
-21;-14;11;1;5
-21;-14;12;1;1
-21;-14;13;1;1
-22;-14;14;1;1
-22;-14;16;1;2
-22;-14;17;0;0
-22;-14;18;1;1
-22;-14;19;1;3
-22;-15;22;0;0
-22;-15;25;0;0
-22;-15;29;1;14
-22;-15;30;1;2
-23;-15;33;0;0
-22;-13;9;0;0
-22;-13;11;1;2
-22;-13;13;1;5
-22;-13;14;1;5
-22;-13;16;0;0
-22;-14;19;1;2
-23;-14;25;0;0
-23;-14;28;1;3
-23;-14;29;1;13
-23;-14;30;1;6
-23;-14;31;1;13
-23;-14;32;1;1
-23;-14;33;0;0
-22;-12;11;1;4
-23;-12;14;1;8
-23;-13;15;1;1
-23;-13;17;1;1
-23;-13;18;1;1
-23;-13;21;0;0
-23;-13;22;1;1
-23;-13;25;1;1
-23;-13;26;0;0
-23;-13;29;1;8
-24;-13;33;0;0
-23;-11;9;1;1
-23;-11;12;1;1
-23;-12;14;1;9
-23;-12;18;1;2
-23;-12;19;1;8
-24;-12;22;1;4
-24;-12;24;0;0
-24;-12;25;0;0
-24;-12;27;1;1
-24;-12;30;1;16
-24;-12;31;1;13
-6;-38;12;0;0
-6;-39;13;1;14
-7;-39;14;1;17
-7;-38;11;1;1
-7;-38;12;0;0
-7;-38;14;1;3
-8;-37;16;1;1
-8;-36;11;1;1
-8;-36;12;1;1
-8;-36;13;0;0
-8;-36;14;1;1
-8;-36;15;1;3
-8;-36;16;1;4
-8;-36;18;1;1
-8;-36;19;1;4
-8;-35;11;0;0
-8;-35;12;0;0
-9;-35;15;1;2
-9;-35;16;1;2
-9;-35;17;1;4
-9;-35;18;1;6
-9;-34;11;0;0
-9;-34;13;1;7
-9;-34;16;0;0
-9;-35;19;0;0
-9;-35;20;0;0
-9;-35;22;0;0
-10;-33;14;1;14
-10;-33;15;1;1
-10;-33;16;1;2
-10;-34;19;0;0
-10;-34;21;1;1
-10;-34;22;1;4
-10;-32;12;1;1
-10;-33;17;0;0
-10;-33;19;1;4
-10;-33;20;1;5
-10;-33;24;1;2
-10;-31;10;0;0
-10;-31;11;0;0
-10;-31;12;1;1
-11;-32;15;1;25
-11;-32;17;0;0
-11;-32;18;0;0
-11;-32;19;1;1
-11;-32;22;1;12
-11;-32;23;0;0
-11;-30;10;1;1
-11;-31;11;0;0
-11;-31;12;0;0
-11;-31;16;1;3
-11;-31;18;0;0
-11;-31;19;0;0
-11;-31;21;1;6
-11;-31;22;1;4
-11;-30;12;0;0
-12;-30;13;0;0
-12;-30;15;1;8
-12;-30;17;1;1
-12;-30;18;0;0
-12;-30;20;1;3
-12;-30;21;1;4
-12;-30;22;1;2
-12;-30;23;1;1
-12;-30;24;0;0
-12;-31;25;0;0
-12;-31;26;0;0
-12;-31;27;0;0
-12;-29;16;1;3
-12;-29;19;1;7
-12;-29;20;0;0
-12;-29;22;1;5
-12;-29;23;1;6
-12;-30;24;1;4
-12;-30;25;0;0
-12;-30;27;0;0
-12;-28;11;0;0
-13;-28;14;0;0
-13;-28;15;1;1
-13;-28;16;1;5
-13;-28;18;1;5
-13;-28;19;1;6
-13;-28;20;1;8
-13;-28;21;1;12
-13;-29;22;1;1
-13;-29;23;1;7
-13;-29;24;1;16
-13;-29;25;1;6
-13;-29;26;0;0
-13;-29;29;0;0
-13;-27;10;1;1
-13;-27;14;0;0
-13;-27;17;0;0
-13;-27;18;1;1
-13;-27;19;1;4
-13;-27;20;1;15
-14;-28;28;0;0
-14;-28;30;0;0
-13;-26;10;0;0
-13;-26;12;1;18
-14;-26;13;0;0
-14;-26;14;1;2
-14;-26;15;1;2
-14;-26;18;1;5
-14;-27;21;1;10
-14;-27;22;0;0
-14;-27;24;1;1
-14;-25;10;0;0
-14;-25;11;0;0
-14;-25;13;1;1
-14;-25;15;1;1
-14;-26;18;1;18
-14;-26;19;1;27
-14;-26;21;1;7
-14;-26;22;1;4
-14;-26;23;1;1
-14;-26;24;0;0
-14;-26;25;0;0
-15;-26;26;0;0
-14;-24;12;0;0
-15;-24;13;1;13
-15;-24;14;0;0
-15;-25;15;1;17
-15;-25;16;1;32
-15;-25;18;1;1
-15;-25;19;1;5
-15;-25;20;1;9
-15;-25;22;1;2
-15;-25;23;1;10
-15;-25;24;0;0
-15;-25;25;0;0
-15;-25;27;0;0
-15;-25;28;0;0
-15;-25;30;0;0
-15;-23;10;0;0
-15;-23;12;1;2
-15;-24;13;1;13
-15;-24;14;1;8
-15;-24;15;1;7
-15;-24;19;1;8
-15;-24;20;1;4
-15;-24;21;1;5
-15;-24;24;0;0
-16;-24;25;0;0
-16;-24;28;0;0
-16;-23;12;1;1
-16;-23;13;0;0
-16;-23;14;0;0
-16;-23;19;1;4
-16;-23;20;1;21
-16;-23;21;1;14
-16;-23;22;0;0
-16;-23;23;1;6
-16;-23;24;0;0
-16;-23;25;1;6
-16;-23;26;0;0
-16;-24;30;0;0
-16;-24;31;0;0
-16;-22;12;0;0
-16;-22;15;1;2
-16;-22;17;0;0
-16;-22;18;0;0
-16;-22;22;1;18
-16;-22;23;1;6
-17;-23;27;1;1
-17;-23;29;0;0
-17;-23;30;0;0
-16;-21;10;0;0
-16;-21;11;0;0
-17;-21;12;1;2
-17;-21;14;1;1
-17;-21;16;0;0
-17;-21;19;1;4
-17;-21;24;1;8
-17;-22;26;1;6
-17;-22;30;1;2
-17;-22;31;0;0
-17;-20;13;1;2
-17;-20;14;1;3
-18;-21;23;1;1
-18;-21;24;1;3
-18;-21;25;1;4
-18;-21;27;1;12
-18;-21;29;1;2
-18;-21;31;0;0
-17;-19;9;0;0
-18;-19;13;1;1
-18;-19;14;0;0
-18;-19;16;1;1
-18;-20;25;0;0
-18;-20;26;1;9
-18;-20;29;0;0
-19;-20;33;0;0
-18;-18;15;0;0
-18;-18;16;0;0
-18;-19;20;0;0
-19;-19;23;0;0
-19;-19;28;0;0
-19;-19;30;0;0
-19;-19;33;0;0
-19;-19;34;1;2
-18;-17;10;1;1
-18;-17;11;1;1
-19;-17;12;0;0
-19;-17;13;0;0
-19;-17;14;0;0
-19;-17;15;0;0
-19;-17;16;0;0
-19;-18;19;1;2
-19;-18;20;0;0
-19;-18;23;0;0
-19;-18;24;0;0
-19;-18;26;1;2
-19;-18;28;0;0
-20;-18;34;0;0
-19;-16;9;0;0
-19;-16;12;0;0
-19;-16;13;0;0
-19;-16;14;0;0
-19;-17;15;0;0
-19;-17;16;0;0
-19;-17;18;0;0
-19;-17;19;1;3
-19;-17;20;0;0
-20;-17;22;1;1
-20;-17;23;0;0
-20;-17;29;0;0
-20;-17;34;0;0
-19;-15;11;0;0
-20;-16;13;0;0
-20;-16;15;0;0
-20;-16;16;1;2
-20;-16;18;0;0
-20;-16;21;0;0
-20;-16;23;0;0
-20;-16;28;1;3
-20;-16;29;0;0
-21;-16;30;0;0
-21;-16;32;0;0
-21;-17;35;0;0
-20;-15;10;1;7
-20;-15;12;0;0
-20;-15;15;0;0
-20;-15;16;0;0
-20;-15;19;0;0
-21;-15;22;0;0
-21;-15;23;0;0
-21;-15;24;0;0
-21;-15;25;1;3
-21;-15;26;1;3
-21;-15;27;1;2
-21;-15;28;1;7
-21;-16;34;1;2
-21;-14;15;0;0
-21;-14;17;1;1
-21;-14;18;0;0
-21;-14;20;0;0
-21;-14;21;0;0
-21;-14;22;0;0
-21;-14;24;1;4
-21;-14;25;0;0
-21;-14;28;1;5
-22;-14;29;1;8
-22;-14;31;0;0
-22;-15;32;1;3
-22;-15;33;1;1
-21;-13;9;0;0
-21;-13;10;1;1
-21;-13;11;1;1
-21;-13;13;1;3
-21;-13;14;1;3
-21;-13;15;1;1
-21;-13;16;1;1
-21;-13;17;0;0
-21;-13;18;0;0
-21;-13;19;1;3
-22;-13;21;0;0
-22;-13;22;1;1
-22;-13;24;1;2
-22;-13;25;0;0
-22;-13;26;0;0
-22;-13;28;1;9
-22;-14;33;0;0
-21;-12;10;1;4
-22;-12;14;1;7
-22;-12;15;1;1
-22;-12;16;0;0
-22;-12;17;0;0
-22;-12;20;1;2
-22;-12;24;1;1
-23;-13;31;1;5
-23;-13;33;0;0
-23;-13;34;1;4
-22;-11;10;1;4
-22;-11;14;1;17
-22;-11;16;0;0
-22;-11;18;1;7
-23;-11;21;0;0
-23;-11;22;0;0
-23;-11;26;0;0
-23;-12;31;1;5
-23;-12;33;1;12
-23;-12;35;1;5
-5;-39;12;1;3
-6;-38;15;1;3
-6;-38;16;1;2
-6;-37;12;1;3
-6;-37;13;0;0
-6;-37;14;1;1
-6;-37;16;1;7
-7;-36;11;0;0
-7;-36;12;1;5
-7;-36;14;0;0
-7;-37;18;1;1
-7;-37;20;1;3
-7;-36;15;1;1
-7;-36;17;1;4
-7;-36;18;1;4
-7;-36;21;1;1
-8;-34;11;1;2
-8;-35;20;1;2
-8;-34;11;0;0
-8;-34;12;0;0
-8;-34;14;1;17
-8;-34;21;1;2
-8;-34;22;1;2
-8;-34;23;1;2
-9;-33;10;1;1
-9;-33;14;0;0
-9;-33;15;1;1
-9;-33;17;1;5
-9;-33;19;1;2
-9;-33;22;1;4
-9;-32;12;0;0
-9;-32;14;1;2
-9;-32;15;1;2
-9;-32;17;1;2
-9;-32;18;0;0
-9;-33;22;1;2
-9;-33;23;1;13
-9;-33;25;0;0
-10;-31;13;0;0
-10;-31;14;0;0
-10;-31;15;1;15
-10;-31;20;1;3
-10;-32;21;1;5
-10;-32;22;1;5
-10;-32;24;0;0
-10;-32;25;0;0
-10;-30;11;1;11
-10;-30;12;0;0
-10;-30;14;1;3
-10;-30;15;1;5
-10;-30;17;1;4
-10;-31;23;1;4
-10;-31;25;0;0
-10;-31;27;0;0
-11;-29;12;0;0
-11;-30;19;1;6
-11;-30;21;1;1
-11;-30;22;1;1
-11;-30;23;0;0
-11;-30;24;1;2
-11;-28;11;1;4
-11;-28;12;0;0
-11;-28;14;0;0
-11;-29;16;1;2
-11;-29;17;0;0
-11;-29;19;1;2
-11;-29;20;1;2
-11;-29;21;1;3
-11;-29;23;0;0
-11;-29;24;1;3
