"x";"y";"z";"E";"n"
-25;-25;21;0;0
-25;-23;11;1;1
-25;-23;12;1;2
-26;-23;13;1;3
-26;-24;14;1;2
-26;-24;15;0;0
-26;-24;20;1;1
-26;-24;21;0;0
-26;-22;11;1;2
-26;-23;12;1;7
-26;-23;13;1;2
-26;-23;14;1;1
-26;-23;18;1;2
-26;-23;19;0;0
-26;-23;21;0;0
-26;-23;22;0;0
-27;-22;13;0;0
-27;-22;15;1;1
-27;-22;18;1;3
-27;-22;19;0;0
-27;-21;11;1;15
-27;-21;12;1;16
-27;-21;13;0;0
-27;-21;15;1;1
-27;-21;16;0;0
-27;-21;17;0;0
-27;-21;18;1;3
-27;-21;21;1;1
-28;-21;22;1;4
-28;-21;23;1;2
-27;-20;12;1;6
-28;-20;13;0;0
-28;-20;15;1;1
-28;-20;16;1;1
-28;-20;18;1;1
-28;-20;19;1;1
-28;-20;21;0;0
-28;-20;23;1;2
-28;-20;24;0;0
-28;-19;10;0;0
-28;-19;12;1;4
-28;-19;13;1;6
-28;-19;16;1;23
-28;-19;17;1;4
-28;-19;20;0;0
-28;-19;21;0;0
-28;-18;10;1;2
-29;-18;13;1;13
-29;-18;18;1;5
-29;-18;21;1;1
-29;-19;23;1;2
-29;-17;13;1;10
-29;-17;14;1;7
-29;-17;16;0;0
-29;-18;21;0;0
-30;-18;22;1;1
-30;-18;23;1;1
-29;-16;10;1;1
-30;-16;13;1;2
-30;-16;14;1;4
-30;-16;15;1;6
-30;-17;17;0;0
-30;-17;18;0;0
-30;-17;19;1;1
-30;-17;21;1;7
-30;-17;24;1;1
-30;-15;10;0;0
-30;-15;11;1;4
-30;-15;12;1;1
-30;-15;13;1;11
-30;-15;14;1;2
-30;-16;17;0;0
-30;-16;18;0;0
-30;-16;20;1;10
-31;-16;22;1;9
-31;-16;23;1;3
-31;-16;24;1;5
-18;-35;12;0;0
-19;-34;12;0;0
-19;-33;13;1;2
-20;-32;11;0;0
-20;-32;12;1;2
-20;-32;13;1;4
-20;-32;14;1;42
-20;-32;15;0;0
-20;-31;14;1;3
-20;-31;15;0;0
-20;-31;16;0;0
-20;-31;17;0;0
-20;-31;18;1;1
-21;-30;11;0;0
-21;-30;12;0;0
-21;-30;14;0;0
-21;-30;15;1;1
-21;-30;16;1;1
-21;-30;18;0;0
-21;-29;11;0;0
-21;-29;14;1;4
-21;-30;20;1;1
-22;-28;14;1;1
-22;-28;16;1;1
-22;-29;19;1;4
-22;-29;20;0;0
-22;-27;11;1;4
-22;-28;15;0;0
-22;-28;16;1;2
-22;-28;21;1;4
-23;-26;12;0;0
-23;-27;14;0;0
-23;-27;15;1;1
-23;-27;16;0;0
-23;-27;18;1;2
-23;-26;11;1;5
-23;-26;13;0;0
-23;-26;14;0;0
-23;-26;15;1;2
-23;-26;17;1;6
-24;-26;22;1;3
-24;-26;23;0;0
-24;-25;11;1;7
-24;-25;12;0;0
-24;-25;18;1;1
-24;-25;23;0;0
-24;-24;11;1;2
-24;-24;12;1;20
-24;-24;13;1;23
-24;-24;18;1;9
-24;-24;20;0;0
-25;-24;21;0;0
-25;-24;22;0;0
-25;-24;23;0;0
-24;-23;10;0;0
-25;-23;13;1;8
-25;-23;14;1;2
-25;-23;15;0;0
-25;-23;16;0;0
-25;-23;17;1;2
-25;-23;19;1;11
-25;-23;21;0;0
-25;-24;24;1;10
-25;-22;10;1;1
-25;-22;11;1;2
-25;-22;13;1;6
-25;-22;15;0;0
-25;-22;16;0;0
-25;-22;18;1;5
-25;-22;19;1;1
-26;-22;21;1;1
-26;-23;23;0;0
-26;-23;24;1;1
-26;-21;15;1;1
-26;-21;18;1;1
-26;-21;19;1;1
-26;-22;22;1;4
-26;-22;24;0;0
-26;-20;11;1;6
-26;-20;14;1;5
-26;-20;16;0;0
-26;-21;17;0;0
-27;-21;20;0;0
-27;-19;11;0;0
-27;-19;12;1;2
-27;-19;14;1;1
-27;-20;15;1;1
-27;-20;16;0;0
-27;-20;19;0;0
-27;-20;20;0;0
-27;-20;21;0;0
-27;-20;23;0;0
-27;-20;24;0;0
-27;-20;25;0;0
-27;-18;10;0;0
-27;-19;12;1;2
-27;-19;17;1;11
-27;-19;18;1;3
-27;-19;19;1;3
-28;-19;22;1;3
-28;-19;24;1;1
-27;-18;10;0;0
-28;-18;12;0;0
-28;-18;14;1;3
-28;-18;17;0;0
-28;-18;18;0;0
-28;-18;20;1;1
-28;-18;22;0;0
-28;-18;23;1;6
-28;-17;17;0;0
-29;-17;23;1;1
-29;-17;24;1;2
-29;-16;14;1;2
-29;-16;19;1;1
-29;-16;20;1;2
-29;-16;21;0;0
-29;-16;25;0;0
-29;-15;10;1;3
-29;-15;11;0;0
-29;-15;13;0;0
-29;-15;16;1;2
-29;-15;17;1;2
-29;-15;18;1;1
-30;-15;19;1;2
-30;-15;21;0;0
-30;-15;25;1;3
-16;-36;13;1;3
-17;-35;12;0;0
-17;-35;13;0;0
-17;-34;14;0;0
-18;-33;12;0;0
-18;-33;13;0;0
-18;-33;15;1;1
-18;-33;16;0;0
-18;-33;17;0;0
-18;-32;12;1;4
-18;-32;13;0;0
-18;-32;14;0;0
-18;-33;18;1;4
-19;-31;11;0;0
-19;-31;15;1;24
-19;-32;17;1;1
-19;-30;11;0;0
-19;-30;12;1;1
-19;-31;15;0;0
-19;-31;17;0;0
-19;-31;18;1;2
-19;-31;19;1;2
-20;-29;11;0;0
-20;-30;12;1;8
-20;-30;13;1;6
-20;-30;17;0;0
-20;-30;20;1;7
-20;-30;21;1;4
-20;-29;11;1;2
-20;-29;12;1;1
-20;-29;13;1;1
-20;-29;16;1;2
-20;-29;17;0;0
-21;-29;21;0;0
-21;-28;12;1;1
-21;-28;16;0;0
-21;-28;18;1;1
-21;-28;20;0;0
-21;-28;22;1;3
-21;-27;11;1;2
-21;-27;12;0;0
-21;-27;14;0;0
-21;-27;15;1;1
-21;-27;16;0;0
-21;-27;18;0;0
-22;-27;20;0;0
-22;-27;23;0;0
-22;-26;12;1;2
-22;-26;15;1;1
-22;-26;16;1;3
-22;-26;17;1;1
-22;-26;19;1;2
-22;-26;20;0;0
-22;-25;13;0;0
-22;-25;15;1;5
-22;-25;17;1;1
-23;-26;24;0;0
-23;-24;10;1;2
-23;-24;11;1;4
-23;-24;16;0;0
-23;-25;18;1;1
-23;-25;20;1;4
