x;y;z;E;n;objname;pgc;al2000;de2000;r
-19;0;24;1;1;PGC2392384;2392384;12,0643045;51,3344524;717473,280171174
-23;0;20;1;1;PGC2185029;2185029;12,0644397;41,6795844;707771,268770643
-23;0;29;1;1;SDSSJ120352.19+514535.5;3401420;12,0644977;51,7598472;851344,948361613
-14;0;27;1;1;2MASXJ12035236+6233235;3383543;12,0645476;62,5564648;709780,085052272
-24;0;22;1;0;2MASXJ12035243+4230419;3547688;12,0645529;42,5115396;758166,981373573
-37;0;19;1;1;PGC1820627;1820627;12,0648588;27,8869734;944737,098197643
-24;0;22;1;0;SDSSJ120353.56+431552.4;3547692;12,0648766;43,2645488;754121,616143017
-28;0;12;1;1;2MASXJ12035387+2414417;3781734;12,0649561;24,2449806;711334,821057067
-30;0;22;1;1;PGC2079600;2079600;12,0649731;36,3768225;854943,329104893
-27;0;30;1;1;SDSSJ120354.32+482421.8;3547693;12,0650855;48,4061207;931286,762957091
-24;0;22;1;0;PGC2192734;2192734;12,0651893;42,1186337;758129,332115905
-17;0;25;1;0;2MASXJ12035501+5446278;3476347;12,0652655;54,7743422;692485,163534656
-21;0;33;1;0;PGC2567670;2567670;12,0654274;57,5477163;903965,593596802
-18;0;33;1;0;PGC2607572;2607572;12,065434;60,8337768;866703,825593423
-31;0;20;1;1;SDSSJ120356.92+332336.9;4102144;12,0658161;33,3936435;851191,953198789
-19;0;34;1;1;SDSSJ120356.98+605452.0;3409985;12,0658242;60,9144838;890339,312987934
-19;0;34;1;1;SDSSJ120357.03+604621.3;4001798;12,0658468;60,7726871;884532,107642721
-37;0;19;1;1;PGC1827699;1827699;12,0659271;28,1490872;950496,218101609
-16;0;28;1;0;PGC2597761;2597761;12,065943;60,080136;735039,85324721
-38;0;12;1;1;SDSSJ120358.09+173113.8;4309085;12,0661404;17,5205476;920876,764532195
-31;0;22;1;0;PGC2079311;2079311;12,0661597;36,3591304;868771,11311746
-25;0;18;1;1;PGC2061799;2061799;12,066363;35,2597894;715531,242849182
-30;0;22;1;1;PGC2079665;2079665;12,0663733;36,3799011;864653,732758312
-23;0;30;1;1;2MASXJ12035947+5259178;3401584;12,0665088;52,9883873;866657,303117091
-24;0;21;1;0;SDSSJ120400.38+405618.7;4125995;12,0667714;40,9384775;726916,132936734
-37;0;19;1;1;PGC1828948;1828948;12,0668374;28,1944795;952642,463030434
-37;0;19;1;1;PGC1828246;1828246;12,0669061;28,1699342;946374,421647327
-21;0;33;1;0;2MASXJ12040110+5709257;3476357;12,0669563;57,1571306;892260,327352264
-36;0;15;1;1;2MASXJ12040107+2224439;3781771;12,0669731;22,4122997;886113,885405525
-23;0;21;1;0;PGC2218004;2218004;12,0671233;43,3234413;719314,265247688
-28;0;29;1;1;SDSSJ120401.92+464615.3;3547702;12,0671981;46,7709253;923171,296443065
-28;0;12;1;1;PGC1701308;1701308;12,0673748;24,1720218;699880,752071724
-17;0;25;1;0;SDSSJ120402.60+543955.3;3476358;12,0673917;54,6653668;694290,010068272
-19;0;34;1;1;PGC2607678;2607678;12,0676381;60,8404381;896189,816748907
-30;0;16;1;1;2MASXJ12040369+2814480;3781784;12,0676991;28,2466988;784997,12862367
-23;0;30;1;1;PGC2400313;2400313;12,067798;51,7984642;868868,722409104
-41;0;16;1;0;2MASXJ12040508+2201249;3781789;12,0680825;22,0234884;999603,269617669
-27;0;34;1;1;PGC2404600;2404600;12,0681058;52,0057035;999860,321690569
-19;0;34;1;1;PGC2608203;2608203;12,0682722;60,871855;902005,150667365
-18;0;25;1;1;SDSSJ120405.83+533714.9;3401572;12,0682874;53,6208436;715614,557701947
-38;0;13;1;0;PGC1588287;1588287;12,0683259;19,3235043;917319,122288007
-19;0;24;1;1;2MASXJ12040613+5104328;3411540;12,0683748;51,075871;715671,776956697
-31;0;12;1;0;2MASXJ12040674+2202110;3781803;12,0685351;22,0363976;773346,070498175
-15;0;27;1;1;PGC2620544;2620544;12,0685842;61,5762739;715660,423202317
-30;0;10;1;0;PGC1597055;1597055;12,0687019;19,5621548;728635,746982252
-23;0;32;1;0;PGC2463613;2463613;12,0692327;54,2337737;899980,19885169
-30;0;22;1;1;PGC2077611;2077611;12,0694873;36,2603773;864652,918515589
-25;0;11;1;1;PGC1724904;1724904;12,0696799;25,0809419;626748,670310774
-19;0;25;1;0;PGC3087136;3087136;12,0700974;52,9126874;717551,580916986
-29;0;10;1;1;SDSSJ120413.53+185147.3;4309297;12,0704298;18,863127;701657,08152062
-22;0;32;1;1;PGC2503977;2503977;12,0706306;55,490324;896042,718126612
-19;0;28;1;0;2MASXJ12041479+5628208;3476369;12,0707664;56,4724932;781406,292426834
-23;0;30;1;1;SDSSJ120415.17+521732.7;4001808;12,0708767;52,2923695;866704,913898267
-23;0;30;1;1;2MASXJ12041592+5222487;3401774;12,0710964;52,3803241;862867,683041762
-23;0;21;1;0;PGC2213999;2213999;12,0712252;43,1451473;721210,771759551
-24;0;22;1;0;PGC2196637;2196637;12,0712906;42,3233383;742426,3219337
-30;0;24;1;1;PGC2141331;2141331;12,0714477;39,0003644;892093,998433117
-30;0;22;1;1;PGC2079689;2079689;12,0714759;36,382332;859039,91199116
-29;0;13;1;0;PGC1701760;1701760;12,0717659;24,1917619;723016,924161097
-21;0;29;1;0;SDSSJ120419.39+535040.4;3476372;12,0720608;53,8446185;812262,744998188
-13;0;32;1;0;PGC038185;38185;12,0721264;66,5992985;787245,941855645
-18;0;20;1;0;PGC2287037;2287037;12,0722197;46,7825934;621144,928998968
-21;0;33;1;0;2MASXJ12042006+5727588;3547736;12,0722459;57,4662968;900031,779938354
-21;0;33;1;0;2MASXJ12042018+5730368;3547738;12,072285;57,5101133;905855,72692734
-28;0;29;1;1;PGC2270033;2270033;12,0723183;45,7587314;919562,852508034
-38;0;13;1;0;PGC1573832;1573832;12,0724356;18,8973162;913397,715220576
-39;0;15;1;1;PGC1653282;1653282;12,0725591;21,5945153;962040,316758288
-24;0;22;1;0;PGC2199556;2199556;12,0726443;42,4717885;761796,157336743
-25;0;22;1;1;SDSSJ120421.72+420935.6;3547740;12,0727024;42,1598619;759804,183146028
-24;0;21;1;0;SDSSJ120421.90+410608.5;4102191;12,0727465;41,102341;738471,40591393
-22;0;34;1;1;2MASXJ12042229+5710258;3476375;12,0728737;57,1737656;917646,198656139
-30;0;23;1;1;PGC2093585;2093585;12,0729066;37,1300673;870739,409295275
-30;0;19;1;1;PGC2007516;2007516;12,0729139;32,6728099;825680,895165121
-23;0;29;1;1;SDSSJ120422.68+512224.9;3401413;12,0729707;51,3736257;859230,943544618
-24;0;22;1;0;SDSSJ120423.13+430951.8;3547742;12,0730891;43,1644629;748300,418347595
-18;0;25;1;1;PGC2459477;2459477;12,0733908;54,0903004;703808,530331917
-24;0;22;1;0;2MASXJ12042469+4233432;3547747;12,0735337;42,5618524;748280,995935943
-15;0;28;1;1;SDSSJ120424.77+603913.1;3410001;12,0735549;60,6536752;727002,089174174
-21;0;20;1;1;PGC2228258;2228258;12,0736498;43,750134;680666,953498251
-25;0;7;1;1;PGC1499930;1499930;12,0731432;16,067683;601447,943461217
-26;0;29;1;1;2MASXJ12042570+4835495;3547748;12,0738037;48,5970111;896089,874257559
