Galaxias;Celdas;Ocup.Med;Ocupadas;Ocup.Az;Ocup.AzAj;;;;;
557.906;5.200.582;1,899;293.790;293.461;269.799;;;;;
Den. = milesimas de galaxia por Mal al cubo;;;;;;;;;;
Dist.;Numero;Cel.Ocup;Cel.Ocup;;;;;;;
10^6al;Galaxias;Azar;Azar.Aj;Den.;Den.Az;Den.AzAj;;;;
4615;884;1468;469;0,00324;0,01023;0,003267;;;;
4625;861;1485;446;0,00314;0,0103;0,003094;;;;
4635;878;1411;501;0,00319;0,00974;0,00346;;;;
4645;849;1526;452;0,00307;0,01049;0,003108;;;;
4655;909;1490;506;0,00328;0,0102;0,003465;;;;
4665;845;1553;464;0,00303;0,01059;0,003163;;;;
4675;856;1576;427;0,00306;0,0107;0,002899;;;;
4685;850;1547;460;0,00303;0,01046;0,003109;;;;
4695;795;1524;409;0,00282;0,01026;0,002753;;;;
4705;859;1535;461;0,00303;0,01029;0,00309;;;;
4715;825;1555;441;0,0029;0,01038;0,002943;;;;
4725;882;1659;472;0,00309;0,01103;0,003137;;;;
4735;852;1591;433;0,00297;0,01053;0,002865;;;;
4745;852;1463;502;0,00296;0,00964;0,003308;;;;
4755;844;1573;443;0,00292;0,01032;0,002907;;;;
4765;885;1649;479;0,00305;0,01078;0,00313;;;;
4775;820;1614;436;0,00281;0,0105;0,002837;;;;
4785;878;1597;453;0,003;0,01035;0,002935;;;;
4795;834;1636;415;0,00283;0,01056;0,002678;;;;
4805;894;1628;478;0,00303;0,01046;0,003072;;;;
4815;864;1602;470;0,00291;0,01025;0,003008;;;;
4825;826;1606;486;0,00277;0,01024;0,003097;;;;
4835;819;1665;394;0,00274;0,01057;0,002501;;;;
4845;799;1677;439;0,00266;0,0106;0,002775;;;;
4855;876;1579;476;0,0029;0,00994;0,002996;;;;
4865;870;1639;479;0,00287;0,01027;0,003003;;;;
4875;846;1732;445;0,00278;0,01081;0,002778;;;;
4885;866;1670;421;0,00284;0,01038;0,002618;;;;
4895;860;1689;451;0,0028;0,01046;0,002793;;;;
4905;864;1639;501;0,00281;0,01011;0,00309;;;;
4915;813;1736;409;0,00263;0,01066;0,002512;;;;
4925;876;1730;434;0,00282;0,01058;0,002655;;;;
4935;955;1713;484;0,00306;0,01044;0,002949;;;;
4945;939;1830;460;0,003;0,0111;0,002791;;;;
4955;961;1732;481;0,00306;0,01047;0,002907;;;;
4965;916;1784;471;0,0029;0,01074;0,002835;;;;
4975;696;1754;374;0,0022;0,01051;0,002242;;;;
4985;299;1702;169;0,00094;0,01016;0,001009;;;;
4995;42;1768;19;0,00013;0,01051;0,000113;;;;
5005;0;5;0;0;0,00003;0;;;;
5015;0;0;0;0;0;0;;;;
