Galaxias;Celdas;Ocup.Med;Ocupadas;Ocup.Az;Ocup.AzAj;;;;;
557.906;5.200.582;1,899;293.790;293.461;269.799;;;;;
Den. = milesimas de galaxia por Mal al cubo;;;;;;;;;;
Dist.;Numero;Cel.Ocup;Cel.Ocup;;;;;;;
10^6al;Galaxias;Azar;Azar.Aj;Den.;Den.Az;Den.AzAj;;;;
1115;2167;94;1014;0,13618;0,01122;0,121013;;;;
1125;2389;98;1211;0,14748;0,01149;0,141965;;;;
1135;1902;81;1125;0,11536;0,00933;0,12957;;;;
1145;2036;84;1188;0,12133;0,00951;0,134446;;;;
1155;1879;87;1067;0,11005;0,00968;0,118671;;;;
1165;1806;96;935;0,10396;0,01049;0,102212;;;;
1175;1924;109;887;0,10888;0,01171;0,095321;;;;
1185;2063;108;1028;0,11478;0,01141;0,108617;;;;
1195;1915;103;944;0,10477;0,0107;0,09808;;;;
1205;1894;104;989;0,10191;0,01063;0,101057;;;;
1215;1842;126;831;0,09749;0,01266;0,08352;;;;
1225;1639;121;745;0,08533;0,01196;0,073659;;;;
1235;1760;86;1107;0,09016;0,00837;0,107685;;;;
1245;1731;128;791;0,08725;0,01225;0,075715;;;;
1255;1697;116;812;0,08418;0,01093;0,076491;;;;
1265;1813;97;1137;0,08852;0,00899;0,10542;;;;
1275;1745;117;916;0,08387;0,01068;0,083602;;;;
1285;1791;105;1014;0,08474;0,00943;0,091112;;;;
1295;1915;122;1027;0,08922;0,01079;0,09086;;;;
1305;1704;122;896;0,07817;0,01063;0,07806;;;;
1315;1733;121;923;0,0783;0,01038;0,079194;;;;
1325;1598;117;963;0,07112;0,00989;0,081384;;;;
1335;1784;118;990;0,07821;0,00982;0,082417;;;;
1345;1722;124;960;0,07437;0,01017;0,078735;;;;
1355;1851;142;914;0,07877;0,01148;0,07386;;;;
1365;1897;164;773;0,07955;0,01306;0,061554;;;;
1375;2088;151;993;0,08629;0,01185;0,077927;;;;
1385;1776;131;938;0,07234;0,01013;0,072552;;;;
1395;2002;150;969;0,08038;0,01144;0,073879;;;;
1405;1839;158;900;0,07279;0,01188;0,067645;;;;
1415;2021;161;931;0,07886;0,01193;0,068989;;;;
1425;1966;143;1029;0,07564;0,01045;0,075185;;;;
1435;2071;156;1008;0,07858;0,01124;0,072627;;;;
1445;1908;126;1163;0,07139;0,00895;0,082639;;;;
1455;2128;141;1200;0,07854;0,00988;0,084101;;;;
1465;1982;159;971;0,07215;0,01099;0,067125;;;;
1475;2165;152;1132;0,07775;0,01037;0,077198;;;;
1485;2255;182;1027;0,07989;0,01225;0,069097;;;;
1495;2241;137;1353;0,07834;0,00909;0,089817;;;;
1505;2170;138;1319;0,07485;0,00904;0,0864;;;;
1515;2308;169;1221;0,07857;0,01092;0,078929;;;;
1525;2097;173;1011;0,07045;0,01104;0,064499;;;;
1535;2398;180;1219;0,07952;0,01133;0,076759;;;;
1545;2271;164;1220;0,07433;0,01019;0,075831;;;;
1555;2129;151;1185;0,06879;0,00927;0,072711;;;;
1565;2215;188;1109;0,07066;0,01139;0,067181;;;;
1575;1964;182;953;0,06186;0,01089;0,057;;;;
1585;2020;157;1196;0,06282;0,00927;0,070634;;;;
1595;2041;191;1019;0,06268;0,01114;0,059429;;;;
1605;1989;178;1019;0,06033;0,01025;0,058691;;;;
1615;1855;188;983;0,05557;0,01069;0,055918;;;;
1625;1772;169;998;0,05243;0,0095;0,056075;;;;
1635;1955;218;917;0,05714;0,0121;0,050895;;;;
1645;1806;191;914;0,05214;0,01047;0,050114;;;;
1655;1787;186;937;0,05097;0,01008;0,050756;;;;
1665;1814;206;868;0,05112;0,01103;0,046455;;;;
1675;1961;175;1221;0,05461;0,00925;0,06457;;;;
1685;1970;194;1110;0,05421;0,01014;0,058005;;;;
1695;1866;202;1040;0,05074;0,01043;0,053708;;;;
1705;1711;208;895;0,04599;0,01062;0,045679;;;;
1715;1954;222;956;0,05191;0,0112;0,048225;;;;
1725;1959;213;1038;0,05144;0,01062;0,051756;;;;
1735;1873;216;969;0,04861;0,01065;0,04776;;;;
1745;2078;226;1079;0,05332;0,01101;0,052574;;;;
1755;1939;230;984;0,04919;0,01108;0,047401;;;;
1765;1950;208;1009;0,04891;0,00991;0,048056;;;;
1775;1998;233;1037;0,04955;0,01097;0,048834;;;;
1785;1916;204;1092;0,04698;0,0095;0,05085;;;;
1795;1964;238;935;0,04762;0,01096;0,043055;;;;
1805;1771;239;900;0,04247;0,01088;0,040986;;;;
1815;1666;245;815;0,03951;0,01103;0,036707;;;;
1825;1744;257;861;0,04091;0,01145;0,038355;;;;
1835;1789;258;864;0,04151;0,01137;0,03807;;;;
1845;1781;238;970;0,04088;0,01037;0,042279;;;;
1855;1717;227;955;0,03899;0,00979;0,041177;;;;
1865;1746;225;987;0,03922;0,0096;0,042102;;;;
1875;1673;264;805;0,03718;0,01114;0,033973;;;;
1885;1532;248;785;0,03369;0,01036;0,032779;;;;
1895;1536;242;847;0,03342;0,01;0,034995;;;;
1905;1422;260;756;0,03061;0,01063;0,030908;;;;
1915;1533;242;874;0,03266;0,00979;0,03536;;;;
1925;1385;266;672;0,0292;0,01065;0,026906;;;;
1935;1563;236;871;0,03261;0,00935;0,034514;;;;
1945;1450;260;824;0,02995;0,0102;0,032317;;;;
1955;1608;258;896;0,03287;0,01002;0,034782;;;;
1965;1612;300;781;0,03262;0,01153;0,03001;;;;
1975;1466;270;776;0,02936;0,01027;0,029517;;;;
1985;1577;260;903;0,03127;0,00979;0,034003;;;;
1995;1442;281;748;0,02831;0,01048;0,027884;;;;
2005;1384;297;620;0,0269;0,01096;0,022883;;;;
2015;1426;306;706;0,02744;0,01118;0,025799;;;;
2025;1347;310;639;0,02566;0,01122;0,02312;;;;
2035;1312;314;654;0,02475;0,01125;0,023431;;;;
2045;1346;280;763;0,02515;0,00993;0,02707;;;;
2055;1347;287;775;0,02492;0,01008;0,027228;;;;
2065;1170;314;641;0,02144;0,01093;0,022303;;;;
2075;1323;327;638;0,02401;0,01127;0,021985;;;;
2085;1345;300;745;0,02417;0,01024;0,025427;;;;
2095;1338;311;702;0,02382;0,01051;0,023731;;;;
2105;1198;333;567;0,02112;0,01115;0,018986;;;;
2115;1143;289;646;0,01996;0,00959;0,021427;;;;
2125;1175;356;543;0,02033;0,0117;0,017841;;;;
2135;1240;283;717;0,02125;0,00921;0,023338;;;;
2145;1113;307;649;0,0189;0,0099;0,020928;;;;
2155;1202;330;633;0,02022;0,01054;0,020223;;;;
2165;1248;348;673;0,0208;0,01102;0,021303;;;;
2175;1155;314;632;0,01908;0,00985;0,019822;;;;
2185;1320;342;715;0,0216;0,01063;0,02222;;;;
2195;1157;342;573;0,01876;0,01053;0,017645;;;;
2205;1107;325;597;0,01779;0,00992;0,018218;;;;
2215;1135;349;581;0,01807;0,01055;0,01757;;;;
2225;1060;329;575;0,01673;0,00986;0,017233;;;;
2235;1078;379;520;0,01686;0,01126;0,015445;;;;
2245;1078;342;565;0,01671;0,01007;0,016633;;;;
2255;1088;354;618;0,01672;0,01033;0,018032;;;;
2265;1034;380;503;0,01575;0,01099;0,014547;;;;
2275;1081;357;524;0,01632;0,01023;0,015021;;;;
2285;1040;386;562;0,01556;0,01097;0,01597;;;;
2295;1063;369;520;0,01577;0,01039;0,014648;;;;
2305;1019;371;530;0,01498;0,01036;0,014801;;;;
2315;1146;402;583;0,01671;0,01113;0,01614;;;;
2325;1025;417;494;0,01481;0,01145;0,013559;;;;
2335;1147;361;637;0,01644;0,00982;0,017334;;;;
2345;1064;417;491;0,01512;0,01125;0,013248;;;;
2355;1026;383;561;0,01445;0,01025;0,015008;;;;
2365;966;406;465;0,01349;0,01077;0,012335;;;;
2375;1050;444;469;0,01454;0,01168;0,012336;;;;
2385;984;412;508;0,01352;0,01075;0,01325;;;;
2395;985;417;540;0,01342;0,01079;0,013968;;;;
2405;868;433;431;0,01172;0,01111;0,011056;;;;
2415;827;401;443;0,01108;0,0102;0,01127;;;;
2425;884;389;500;0,01174;0,00981;0,012615;;;;
2435;866;447;438;0,01141;0,01119;0,01096;;;;
2445;892;408;510;0,01166;0,01013;0,012658;;;;
2455;796;426;382;0,01032;0,01049;0,009404;;;;
2465;868;442;459;0,01116;0,01079;0,011208;;;;
2475;836;368;486;0,01066;0,00891;0,011771;;;;
2485;911;439;517;0,01153;0,01055;0,012422;;;;
2495;822;403;489;0,01032;0,00961;0,011655;;;;
2505;861;477;468;0,01072;0,01128;0,011066;;;;
2515;866;459;408;0,0107;0,01077;0,00957;;;;
2525;826;456;452;0,01012;0,01061;0,010519;;;;
2535;826;461;461;0,01004;0,01064;0,010644;;;;
2545;763;404;438;0,0092;0,00925;0,010033;;;;
2555;806;480;415;0,00965;0,01091;0,009432;;;;
2565;806;493;436;0,00957;0,01112;0,009832;;;;
2575;774;431;403;0,00912;0,00964;0,009018;;;;
2585;694;482;354;0,00811;0,0107;0,00786;;;;
2595;742;473;390;0,00861;0,01042;0,008593;;;;
2605;763;474;389;0,00878;0,01036;0,008505;;;;
2615;704;471;370;0,00804;0,01022;0,008028;;;;
2625;690;432;404;0,00782;0,0093;0,008699;;;;
2635;740;489;385;0,00833;0,01045;0,008227;;;;
2645;739;510;374;0,00825;0,01082;0,007932;;;;
2655;731;499;403;0,0081;0,0105;0,008482;;;;
2665;671;500;358;0,00738;0,01045;0,007479;;;;
2675;655;480;360;0,00715;0,00995;0,007464;;;;
2685;697;513;343;0,00755;0,01056;0,007059;;;;
2695;706;509;394;0,00759;0,0104;0,008049;;;;
2705;633;544;278;0,00676;0,01103;0,005637;;;;
2715;625;515;335;0,00662;0,01037;0,006743;;;;
2725;608;498;339;0,0064;0,00995;0,006773;;;;
2735;597;513;370;0,00624;0,01018;0,007339;;;;
2745;667;565;342;0,00692;0,01113;0,006734;;;;
2755;593;554;332;0,0061;0,01083;0,00649;;;;
2765;631;553;312;0,00645;0,01073;0,006055;;;;
2775;591;531;319;0,006;0,01023;0,006146;;;;
2785;614;554;330;0,00618;0,0106;0,006313;;;;
2795;601;535;289;0,00601;0,01016;0,005489;;;;
